date,planned_cost,increase_cost,reduction_net_cost,emergency_cost,total_cost,emergency_energy,spill_energy,projection_count,ending_inventory,planned_energy,adjusted_energy
2025-02-01,24719.059512919437,0.0,0.0,4.121105945387172e-11,24719.059512919477,1.1155520951433573e-11,6548.58502268523,0.0,8968.710863751909,47876.81613235903,47876.81613235903
2025-02-02,57257.91817013052,0.0,0.0,4.2083257767444586e-11,57257.918170130564,1.2789769243681803e-11,7308.163997917243,0.0,8822.459881756487,89915.09541307382,89915.09541307382
2025-02-03,56025.30456404343,0.0,0.0,5.690945314995588e-11,56025.30456404349,1.5297985100914957e-11,3803.9217518242576,0.0,8553.915947359197,88212.9807246436,88212.9807246436
2025-02-04,55851.803056817975,0.0,0.0,6.426563459172029e-11,55851.80305681804,1.7564616427989677e-11,2282.9456526884305,0.0,8455.49797927594,87917.97262917449,87917.97262917449
2025-02-05,55099.24171474762,0.0,0.0,6.841955313419134e-11,55099.24171474769,1.7016832387639624e-11,2050.9332252327367,0.0,8248.054743116398,87108.62267925462,87108.62267925462
2025-02-06,57089.223074382746,0.0,0.0,73.98324168239702,57163.206316065145,12.665110276884107,4525.941614554824,0.0,8665.84392527049,89675.96087610524,89675.96087610524
2025-02-07,22281.824182459466,0.0,0.0,2.908565477355296e-11,22281.824182459495,8.881784197001252e-12,7840.343849738085,0.0,8107.956992814152,42832.64483662006,42832.64483662006
2025-02-08,20369.713502557614,0.0,0.0,4.8839602584394016e-11,20369.71350255766,1.6790124846011167e-11,3659.2284227864347,0.0,8419.32501043369,39268.562655877264,39268.562655877264
2025-02-09,52165.018972548,0.0,0.0,3319.5406151502116,55484.55958769821,972.5158003136652,112.82615521706688,0.0,7785.960931167717,82581.29495961245,82581.29495961245
2025-02-10,54105.51664430567,0.0,0.0,3.536254666869354e-11,54105.51664430571,1.1368683772161603e-11,6868.773492266291,0.0,7812.584824030495,85670.65809216502,85670.65809216502
2025-02-11,52648.78528262099,0.0,0.0,583.4483966279777,53232.23367924897,109.05335118563649,4282.953427964021,0.0,8027.6306450123275,84166.59917441626,84166.59917441626
2025-02-12,52711.32753286444,0.0,0.0,5.993857143948844e-11,52711.327532864496,1.602984411874786e-11,4341.057096081073,0.0,8155.1921519962425,84144.70915947048,84144.70915947048
2025-02-13,51400.680826991105,0.0,0.0,6.842486754976563e-11,51400.68082699117,2.1884716261411086e-11,6178.568507855367,0.0,8047.63733807532,81575.74928578286,81575.74928578286
2025-02-14,18959.408955717958,0.0,0.0,6.607065472508112e-11,18959.408955718023,1.9525714378687553e-11,3268.7763464275276,0.0,7499.377235882832,36190.719437945336,36190.719437945336
2025-02-15,19152.298893244624,0.0,0.0,4.651209195571937e-11,19152.29889324467,1.3088197192701045e-11,3533.0067589326245,0.0,7848.50396806682,36812.38071681061,36812.38071681061
2025-02-16,50067.209602407056,0.0,0.0,361.80405055949996,50429.013652966554,92.1018383595364,752.5375360925416,0.0,7907.8712965755285,80546.54569563955,80546.54569563955
2025-02-17,50008.943606649715,0.0,0.0,7.935256007840508e-11,50008.943606649795,2.191313797084149e-11,4812.140743567246,0.0,8121.727916621064,80396.66613315087,80396.66613315087
2025-02-18,48607.51978599122,0.0,0.0,37.52579250007551,48645.0455784913,8.248333333355202,1501.0627665878067,0.0,8310.339597191773,77953.83932070786,77953.83932070786
2025-02-19,48225.00696386659,0.0,0.0,89.5306037188083,48314.537567585394,20.443110793203218,500.63620085712637,0.0,7669.231915291317,77086.02241465221,77086.02241465221
2025-02-20,48555.68753619253,0.0,0.0,71.29222441794253,48626.97976061047,15.220372420572815,3306.64633876421,0.0,7062.3025980529,77965.05639355298,77965.05639355298
