date,planned_cost,increase_cost,reduction_net_cost,emergency_cost,total_cost,emergency_energy,spill_energy,projection_count,ending_inventory,planned_energy,adjusted_energy
2025-02-01,22417.229849057738,7.244977950904286e-14,-1550.357611171402,2.705911406053474e-11,20866.87223788636,7.691625114603085e-12,3520.318100844075,0.0,10320.0,52592.663342816624,46481.47475799237
2025-02-02,64655.14447666421,3.2071625355456486e-13,-2808.474645472286,4.190064117892689e-11,61846.66983119197,1.1105782959930366e-11,3603.8650586852727,0.0,8005.053003530739,90201.4059931491,84039.90082675543
2025-02-03,66921.19552430887,1.5936052477627528e-13,-2934.8491191925677,7.972836257863492e-11,63986.34640511638,1.758593271006248e-11,2328.5062732250935,0.0,6713.450009568383,91852.50112475589,85638.70559787012
2025-02-04,70207.74163961524,4.250978236086667e-13,-3290.9195803800876,6.392637885710428e-11,66916.82205923522,1.375610736431554e-11,3663.840083772917,0.0,6034.154947579098,95518.4143316418,88623.42429774164
2025-02-05,63895.84516389652,984.3755024193027,-1279.9549474927462,1.0154700680331529e-10,63600.265718823175,1.9974688569845966e-11,1400.2446470002878,0.0,7267.709554211694,89799.73414688143,87841.34593238743
2025-02-06,66938.65760502544,3.389800440345425e-13,-3549.757612252103,50.420379998491484,63439.32037277182,6.968953697104036,1385.2395523460905,0.0,4257.531565660658,90950.81700274743,83134.81401767125
2025-02-07,21068.12643660046,2.8256863515707663e-14,-1150.146468971996,317.8938902896183,20235.873857918086,82.41569127925078,6713.668532232361,0.0,7072.228879219194,50488.511279628685,45614.23690937339
2025-02-08,16476.280230011074,784.4751937821804,-1.4784617974328285e-15,3.980654739166311e-11,17260.755423793296,1.525535253676935e-11,1872.757643594876,0.0,10291.651844436929,40607.56536192091,41298.193220624395
2025-02-09,61130.33208085518,1.9443518795014823e-12,-982.9385460489946,6.818342512815434e-11,60147.39353480625,1.737987531669205e-11,1930.5277776364342,0.0,5676.145261622307,83325.89116332217,81271.3785145848
2025-02-10,59503.677592624634,8.793211492275078e-13,-2251.061266550443,4.438625356151249e-11,57252.61632607423,1.3943068921662416e-11,1230.3895012001303,0.0,6121.586819309954,85871.74993138487,80597.32877997233
2025-02-11,57636.60790616684,175.07335414301647,-1832.9681528578176,2421.658195757228,58400.37130320927,457.8429983253967,229.6446699495168,0.0,5698.358249345633,82957.72655509258,79024.20500124611
2025-02-12,58602.21687088979,6.575985089796177e-13,-1386.1479563591297,7.79115119087237e-11,57216.06891453074,1.6633805444143945e-11,729.0268692434104,0.0,7342.225285046913,85640.64865226808,82423.79534923348
2025-02-13,53205.46887940781,4.5379323632133147e-13,-1832.980393735616,126.2746827851205,51498.76316845731,27.16382616242167,1683.1156302818586,0.0,2087.389963133786,75937.06298969069,71982.98576937219
2025-02-14,16817.863428557954,692.3512573440964,-228.70425145245937,3.823117822321364e-11,17281.510434449632,1.4210854715202004e-11,3530.305550468868,0.0,5255.777958187033,41649.66475800057,40944.45532858517
