date,planned_cost,increase_cost,reduction_net_cost,emergency_cost,total_cost,emergency_energy,spill_energy,ending_inventory,projection_count,planned_energy,adjusted_energy
2025-02-01,20727.984810575843,0.0,0.0,2.488965833435941e-11,20727.984810575872,6.252776074688882e-12,7218.090211291217,10230.0,0,50065.67379470037,50065.67379470037
2025-02-02,62825.404135416065,0.0,0.0,4.0281761926053153e-11,62825.4041354161,1.043076736095827e-11,7354.121415242756,8451.451003421096,0,88322.3230230895,88322.3230230895
2025-02-03,62677.14913023209,0.0,0.0,6.024280807537253e-11,62677.14913023214,1.461586407458526e-11,3869.32267335292,7062.4224837992815,0,86897.67534237301,86897.67534237301
2025-02-04,62538.90396717371,0.0,0.0,5.436231020894411e-11,62538.90396717376,1.2292389328649733e-11,2473.0820513601825,6030.0,0,87007.84966934759,87007.84966934759
2025-02-05,62759.96557713087,0.0,0.0,5.4849561892389433e-11,62759.96557713092,1.2264633753034104e-11,2096.9037703553313,7316.919258781979,0,88598.50036102117,88598.50036102117
2025-02-06,62797.11336557224,0.0,0.0,74.78918733782079,62871.90255291006,10.33713715796074,4586.391317874297,4268.085851141896,0,86359.0312396609,86359.0312396609
2025-02-07,19416.858737245544,0.0,0.0,1.7924016049164494e-11,19416.85873724556,5.215383680479135e-12,8005.632822815139,7247.824982371021,0,46953.14654849261,46953.14654849261
2025-02-08,17673.354657762426,0.0,0.0,3.8718667383363934e-11,17673.354657762466,1.4864554032101296e-11,4067.7850354369734,10243.626553273087,0,43245.77594098564,43245.77594098564
2025-02-09,56496.7003386239,0.0,0.0,3429.568938810799,59926.2692774347,853.2281337022052,133.46188216705838,5347.128782093894,0,78428.1359980574,78428.1359980574
2025-02-10,59706.89007897838,0.0,0.0,3.5669472708832474e-11,59706.89007897841,1.057287590811029e-11,6642.427298157318,6248.35920204241,0,86587.51860394386,86587.51860394386
2025-02-11,57627.572873358695,0.0,0.0,269.6023467426228,57897.17522010132,57.55417684119918,4205.956415262848,5753.968539918215,0,83392.5478631263,83392.5478631263
2025-02-12,58414.8851575651,0.0,0.0,5.6191858277543363e-11,58414.88515756516,1.2860823517257813e-11,4331.607361397352,7257.869749696778,0,85759.27497994222,85759.27497994222
2025-02-13,53584.54302754216,0.0,0.0,4.903606054540432e-11,53584.54302754221,1.361399881716352e-11,6045.36840438507,2490.882498700811,0,76612.34287027743,76612.34287027743
2025-02-14,16430.902944534162,0.0,0.0,5.7722843394003576e-11,16430.902944534217,1.949729266925715e-11,3277.5598683966823,5084.679219263007,0,40133.87234491106,40133.87234491106
2025-02-15,17930.309222265165,0.0,0.0,3.8785941569585705e-11,17930.309222265205,1.3415046851150692e-11,3543.6885757516256,10439.548894131101,0,42903.48762073537,42903.48762073537
2025-02-16,53345.86633426176,0.0,0.0,230.13569538996757,53576.002029651725,35.63052036644028,725.6848733396844,6997.659923403842,0,76629.61313063273,76629.61313063273
2025-02-17,54360.18459834083,0.0,0.0,5.804569980227825e-11,54360.184598340886,1.5660361896152608e-11,4759.456560213886,6392.37872352534,0,79683.03490289432,79683.03490289432
2025-02-18,51335.702383925134,0.0,0.0,6.363597648828544e-11,51335.70238392519,1.6651569012537948e-11,1457.0369990570794,4401.268002839182,0,75531.51403688254,75531.51403688254
2025-02-19,52663.34528778406,0.0,0.0,886.8638549439626,53550.20914272802,176.889655851079,621.5021594507431,5648.408634974971,0,79048.55947266231,79048.55947266231
